y,F1,F2,F3,F4
1,97,-0.04901123,0.083099365,-0.08805847
1,106,-0.099090576,-0.032958984,-0.07585144
1,116,-0.11376953,-0.11602783,-0.07217407
1,126,-0.09300232,-0.16366577,-0.07217407
1,136,-0.04045105,-0.17955017,-0.06729126
1,144,0.024291992,-0.16856384,-0.048965454
1,154,0.08413696,-0.12947083,-0.020858765
1,164,0.13423157,-0.07081604,-0.006210327
1,175,0.16966248,-0.03416443,-0.001327515
,,,,
1,3,-0.2896881,-0.1038208,0.12817383
1,20,-0.49005127,-0.024398804,0.20025635
1,25,-0.3373413,0.013458252,0.11349487
1,34,-0.07711792,0.0977478,0.054885864
1,42,0.10246277,0.21871948,0.018234253
1,51,0.2124176,0.31399536,-0.025756836
1,61,0.2564087,0.32255554,-0.056289673
1,70,0.20751953,0.26513672,-0.06729126
1,80,0.104904175,0.18083191,-0.05873108
1,90,0.013290405,0.07331848,-0.048965454
1,100,-0.04901123,-0.03416443,-0.048965454
1,109,-0.090545654,-0.11846924,-0.048965454
1,120,-0.10154724,-0.16978455,-0.04408264
1,128,-0.08932495,-0.20155334,-0.034301758
1,137,-0.07221985,-0.223526,-0.017196655
1,147,-0.060012817,-0.21987915,0.00479126
1,156,-0.050231934,-0.18933105,0.019439697
,,,,
1,4,-0.014801025,-0.20399475,0.019439697
1,15,-0.44117737,-0.085494995,0.2063446
1,20,-0.5108185,-0.032958984,0.17214966
1,30,-0.2909088,-0.001205444,0.08052063
1,38,-0.07344055,0.06965637,0.04020691
1,48,0.06704712,0.16983032,0.001113892
1,57,0.17088318,0.24681091,-0.04408264
1,69,0.2124176,0.25413513,-0.08317566
1,78,0.162323,0.21748352,-0.105163574
1,87,0.062149048,0.16127014,-0.1002655
1,97,-0.022125244,0.09408569,-0.085617065
1,106,-0.06855774,0.028121948,-0.06851196
1,118,-0.09176636,-0.031723022,-0.048965454
1,126,-0.08810425,-0.07815552,-0.03919983
1,135,-0.06367493,-0.120910645,-0.036743164
1,144,-0.031906128,-0.15390015,-0.034301758
1,154,-0.002593994,-0.17100525,-0.01965332
1,163,0.02305603,-0.16246033,0.001113892
1,172,0.049926758,-0.13069153,0.014556885
,,,,
1,2,0.09880066,-0.24188232,-0.07217407
1,73,-0.36543274,-0.14169312,0.13305664
1,77,-0.5682373,-0.06349182,0.18437195
1,82,-0.3874359,-0.032958984,0.08052063
1,86,-0.118652344,0.034225464,0.016998291
1,90,0.049926758,0.13929749,-0.01109314
1,92,0.14399719,0.24069214,-0.048965454
1,94,0.1928711,0.28590393,-0.08317566
1,95,0.1659851,0.26145935,-0.10638428
1,97,0.08291626,0.18327332,-0.11494446
1,99,-0.006240845,0.07575989,-0.101501465
1,107,-0.078323364,-0.030517578,-0.08805847
1,113,-0.13085938,-0.10870361,-0.07461548
1,121,-0.15042114,-0.16001892,-0.05996704
1,130,-0.13697815,-0.18811035,-0.041641235
1,142,-0.10888672,-0.19667053,-0.020858765
1,152,-0.070999146,-0.17834473,-0.006210327
,,,,
1,6,-0.33366394,-0.113586426,0.16114807
1,17,-0.39720154,-0.052490234,0.13916016
1,25,-0.19195557,-0.002426148,0.05609131
1,33,0.015731812,0.10140991,0.035324097
1,42,0.14645386,0.21992493,0.009674072
1,52,0.21607971,0.26879883,-0.022094727
1,61,0.1977539,0.22969055,-0.046524048
1,72,0.08657837,0.14173889,-0.057525635
1,82,-0.05267334,0.034225464,-0.05873108
1,91,-0.15530396,-0.072052,-0.05873108
1,101,-0.206604,-0.14045715,-0.052627563
1,113,-0.21516418,-0.17955017,-0.03186035
1,121,-0.19683838,-0.20031738,-0.008651733
1,130,-0.16751099,-0.20155334,0.012115479
1,139,-0.12721252,-0.18443298,0.010894775
1,150,-0.06855774,-0.15390015,-0.003768921
,,,,
1,2,-0.12475586,-0.14657593,0.001113892
1,14,-0.42041016,-0.004882813,0.13427734
1,21,-0.35198975,0.046447754,0.09152222
1,31,-0.09664917,0.114852905,0.031677246
1,40,0.101242065,0.22724915,-9.16E-05
1,49,0.2099762,0.31643677,-0.040420532
1,61,0.23684692,0.33966064,-0.07217407
1,70,0.19165039,0.31033325,-0.08929443
1,79,0.113464355,0.25413513,-0.094177246
1,89,0.04748535,0.15762329,-0.085617065
1,99,-0.009918213,0.04156494,-0.06729126
1,108,-0.057556152,-0.06472778,-0.050186157
1,119,-0.08566284,-0.13923645,-0.036743164
1,128,-0.09176636,-0.18566895,-0.028198242
1,137,-0.07711792,-0.19178772,-0.012313843
1,147,-0.04168701,-0.15512085,-0.006210327
,,,,
1,3,0.17576599,-0.076934814,-0.026977539
1,8,-0.22616577,-0.02319336,0.13793945
1,20,-0.39476013,-0.004882813,0.15382385
1,27,-0.2713623,0.008560181,0.08540344
